row_index,split_for,cgpa_class,sgpa_class
762,cgpa_experiments_B_C,C3,C0
966,cgpa_experiments_B_C,C1,C1
818,cgpa_experiments_B_C,C3,C3
772,cgpa_experiments_B_C,C1,C2
119,cgpa_experiments_B_C,C3,C3
223,cgpa_experiments_B_C,C0,C3
614,cgpa_experiments_B_C,C3,C2
22,cgpa_experiments_B_C,C1,C2
443,cgpa_experiments_B_C,C3,C0
482,cgpa_experiments_B_C,C1,C3
1087,cgpa_experiments_B_C,C0,C1
403,cgpa_experiments_B_C,C1,C1
879,cgpa_experiments_B_C,C2,C1
467,cgpa_experiments_B_C,C1,C0
1083,cgpa_experiments_B_C,C1,C1
875,cgpa_experiments_B_C,C2,C2
397,cgpa_experiments_B_C,C2,C1
165,cgpa_experiments_B_C,C1,C2
266,cgpa_experiments_B_C,C2,C2
368,cgpa_experiments_B_C,C2,C2
705,cgpa_experiments_B_C,C0,C2
422,cgpa_experiments_B_C,C2,C3
732,cgpa_experiments_B_C,C0,C2
771,cgpa_experiments_B_C,C1,C2
946,cgpa_experiments_B_C,C2,C2
1037,cgpa_experiments_B_C,C0,C1
1002,cgpa_experiments_B_C,C0,C1
282,cgpa_experiments_B_C,C2,C2
448,cgpa_experiments_B_C,C2,C1
297,cgpa_experiments_B_C,C3,C3
856,cgpa_experiments_B_C,C0,C0
385,cgpa_experiments_B_C,C2,C0
312,cgpa_experiments_B_C,C2,C2
598,cgpa_experiments_B_C,C3,C3
306,cgpa_experiments_B_C,C2,C2
349,cgpa_experiments_B_C,C1,C1
929,cgpa_experiments_B_C,C1,C1
1,cgpa_experiments_B_C,C1,C1
831,cgpa_experiments_B_C,C2,C3
990,cgpa_experiments_B_C,C3,C3
1070,cgpa_experiments_B_C,C0,C0
892,cgpa_experiments_B_C,C2,C2
276,cgpa_experiments_B_C,C1,C3
1010,cgpa_experiments_B_C,C3,C3
1061,cgpa_experiments_B_C,C1,C2
593,cgpa_experiments_B_C,C2,C2
1077,cgpa_experiments_B_C,C0,C0
1100,cgpa_experiments_B_C,C2,C2
989,cgpa_experiments_B_C,C1,C1
1028,cgpa_experiments_B_C,C1,C0
567,cgpa_experiments_B_C,C2,C1
206,cgpa_experiments_B_C,C2,C1
927,cgpa_experiments_B_C,C3,C3
480,cgpa_experiments_B_C,C3,C3
287,cgpa_experiments_B_C,C2,C2
334,cgpa_experiments_B_C,C2,C2
727,cgpa_experiments_B_C,C2,C2
689,cgpa_experiments_B_C,C0,C0
694,cgpa_experiments_B_C,C1,C1
670,cgpa_experiments_B_C,C1,C1
185,cgpa_experiments_B_C,C1,C2
1093,cgpa_experiments_B_C,C2,C2
954,cgpa_experiments_B_C,C2,C2
333,cgpa_experiments_B_C,C2,C1
807,cgpa_experiments_B_C,C1,C2
149,cgpa_experiments_B_C,C0,C0
408,cgpa_experiments_B_C,C0,C1
358,cgpa_experiments_B_C,C0,C1
780,cgpa_experiments_B_C,C0,C0
218,cgpa_experiments_B_C,C0,C0
339,cgpa_experiments_B_C,C2,C1
528,cgpa_experiments_B_C,C1,C1
162,cgpa_experiments_B_C,C1,C1
698,cgpa_experiments_B_C,C1,C1
829,cgpa_experiments_B_C,C0,C3
38,cgpa_experiments_B_C,C1,C2
716,cgpa_experiments_B_C,C3,C0
797,cgpa_experiments_B_C,C3,C0
1056,cgpa_experiments_B_C,C1,C2
456,cgpa_experiments_B_C,C1,C3
250,cgpa_experiments_B_C,C1,C2
1000,cgpa_experiments_B_C,C3,C3
1006,cgpa_experiments_B_C,C2,C3
86,cgpa_experiments_B_C,C0,C1
1017,cgpa_experiments_B_C,C2,C2
986,cgpa_experiments_B_C,C3,C3
548,cgpa_experiments_B_C,C3,C2
450,cgpa_experiments_B_C,C1,C1
268,cgpa_experiments_B_C,C1,C1
794,cgpa_experiments_B_C,C2,C2
554,cgpa_experiments_B_C,C1,C3
688,cgpa_experiments_B_C,C1,C2
1082,cgpa_experiments_B_C,C3,C3
630,cgpa_experiments_B_C,C1,C0
1015,cgpa_experiments_B_C,C3,C3
525,cgpa_experiments_B_C,C0,C1
796,cgpa_experiments_B_C,C2,C0
256,cgpa_experiments_B_C,C1,C1
739,cgpa_experiments_B_C,C3,C0
50,cgpa_experiments_B_C,C0,C0
233,cgpa_experiments_B_C,C1,C1
1024,cgpa_experiments_B_C,C0,C0
522,cgpa_experiments_B_C,C2,C2
1020,cgpa_experiments_B_C,C2,C3
1031,cgpa_experiments_B_C,C2,C3
714,cgpa_experiments_B_C,C1,C1
39,cgpa_experiments_B_C,C2,C3
802,cgpa_experiments_B_C,C3,C2
1088,cgpa_experiments_B_C,C0,C0
899,cgpa_experiments_B_C,C0,C2
108,cgpa_experiments_B_C,C3,C3
151,cgpa_experiments_B_C,C2,C0
381,cgpa_experiments_B_C,C3,C0
683,cgpa_experiments_B_C,C0,C0
1069,cgpa_experiments_B_C,C1,C0
786,cgpa_experiments_B_C,C1,C0
656,cgpa_experiments_B_C,C3,C2
457,cgpa_experiments_B_C,C3,C0
62,cgpa_experiments_B_C,C3,C3
158,cgpa_experiments_B_C,C3,C0
481,cgpa_experiments_B_C,C0,C1
693,cgpa_experiments_B_C,C0,C3
984,cgpa_experiments_B_C,C1,C1
313,cgpa_experiments_B_C,C1,C1
338,cgpa_experiments_B_C,C1,C1
687,cgpa_experiments_B_C,C2,C0
509,cgpa_experiments_B_C,C3,C0
641,cgpa_experiments_B_C,C3,C1
231,cgpa_experiments_B_C,C2,C2
820,cgpa_experiments_B_C,C0,C2
264,cgpa_experiments_B_C,C1,C1
977,cgpa_experiments_B_C,C3,C3
957,cgpa_experiments_B_C,C2,C2
622,cgpa_experiments_B_C,C0,C3
842,cgpa_experiments_B_C,C1,C1
934,cgpa_experiments_B_C,C0,C1
414,cgpa_experiments_B_C,C2,C3
386,cgpa_experiments_B_C,C1,C2
196,cgpa_experiments_B_C,C0,C1
261,cgpa_experiments_B_C,C1,C1
245,cgpa_experiments_B_C,C3,C3
952,cgpa_experiments_B_C,C2,C2
677,cgpa_experiments_B_C,C1,C3
854,cgpa_experiments_B_C,C0,C0
469,cgpa_experiments_B_C,C2,C3
890,cgpa_experiments_B_C,C1,C1
360,cgpa_experiments_B_C,C3,C3
915,cgpa_experiments_B_C,C3,C3
928,cgpa_experiments_B_C,C2,C3
42,cgpa_experiments_B_C,C3,C3
430,cgpa_experiments_B_C,C3,C0
951,cgpa_experiments_B_C,C3,C3
625,cgpa_experiments_B_C,C1,C1
342,cgpa_experiments_B_C,C1,C1
242,cgpa_experiments_B_C,C2,C3
487,cgpa_experiments_B_C,C0,C1
398,cgpa_experiments_B_C,C2,C3
632,cgpa_experiments_B_C,C0,C3
1018,cgpa_experiments_B_C,C3,C3
769,cgpa_experiments_B_C,C2,C1
425,cgpa_experiments_B_C,C3,C0
843,cgpa_experiments_B_C,C1,C1
906,cgpa_experiments_B_C,C1,C2
259,cgpa_experiments_B_C,C1,C1
865,cgpa_experiments_B_C,C3,C3
308,cgpa_experiments_B_C,C2,C2
415,cgpa_experiments_B_C,C1,C3
573,cgpa_experiments_B_C,C3,C3
388,cgpa_experiments_B_C,C1,C2
775,cgpa_experiments_B_C,C0,C1
257,cgpa_experiments_B_C,C2,C3
736,cgpa_experiments_B_C,C0,C0
472,cgpa_experiments_B_C,C0,C3
296,cgpa_experiments_B_C,C2,C1
956,cgpa_experiments_B_C,C2,C1
706,cgpa_experiments_B_C,C3,C0
122,cgpa_experiments_B_C,C0,C2
190,cgpa_experiments_B_C,C0,C3
757,cgpa_experiments_B_C,C1,C2
828,cgpa_experiments_B_C,C1,C1
434,cgpa_experiments_B_C,C2,C3
839,cgpa_experiments_B_C,C2,C2
824,cgpa_experiments_B_C,C0,C1
337,cgpa_experiments_B_C,C2,C2
291,cgpa_experiments_B_C,C3,C3
961,cgpa_experiments_B_C,C1,C2
1005,cgpa_experiments_B_C,C2,C2
1016,cgpa_experiments_B_C,C1,C1
1105,cgpa_experiments_B_C,C1,C3
416,cgpa_experiments_B_C,C2,C3
241,cgpa_experiments_B_C,C2,C2
624,cgpa_experiments_B_C,C0,C3
1094,cgpa_experiments_B_C,C1,C0
28,cgpa_experiments_B_C,C0,C1
937,cgpa_experiments_B_C,C1,C1
834,cgpa_experiments_B_C,C2,C1
263,cgpa_experiments_B_C,C1,C1
442,cgpa_experiments_B_C,C1,C2
373,cgpa_experiments_B_C,C0,C0
603,cgpa_experiments_B_C,C1,C3
343,cgpa_experiments_B_C,C2,C3
145,cgpa_experiments_B_C,C3,C3
94,cgpa_experiments_B_C,C3,C3
400,cgpa_experiments_B_C,C1,C3
896,cgpa_experiments_B_C,C2,C0
536,cgpa_experiments_B_C,C0,C1
654,cgpa_experiments_B_C,C2,C0
713,cgpa_experiments_B_C,C2,C2
209,cgpa_experiments_B_C,C0,C0
494,cgpa_experiments_B_C,C2,C3
979,cgpa_experiments_B_C,C1,C1
516,cgpa_experiments_B_C,C3,C1
763,cgpa_experiments_B_C,C1,C0
618,cgpa_experiments_B_C,C1,C0
973,cgpa_experiments_B_C,C2,C2
45,cgpa_experiments_B_C,C2,C2
673,cgpa_experiments_B_C,C2,C0
148,cgpa_experiments_B_C,C0,C0
661,cgpa_experiments_B_C,C0,C3
702,cgpa_experiments_B_C,C0,C2
850,cgpa_experiments_B_C,C3,C3
811,cgpa_experiments_B_C,C3,C1
8,cgpa_experiments_B_C,C2,C2
955,cgpa_experiments_B_C,C3,C3
47,cgpa_experiments_B_C,C3,C3
612,cgpa_experiments_B_C,C0,C0
459,cgpa_experiments_B_C,C1,C3
963,cgpa_experiments_B_C,C2,C2
936,cgpa_experiments_B_C,C1,C1
99,cgpa_experiments_B_C,C1,C0
679,cgpa_experiments_B_C,C1,C3
857,cgpa_experiments_B_C,C1,C1
652,cgpa_experiments_B_C,C3,C3
500,cgpa_experiments_B_C,C2,C2
220,cgpa_experiments_B_C,C0,C3
933,cgpa_experiments_B_C,C2,C3
943,cgpa_experiments_B_C,C1,C1
527,cgpa_experiments_B_C,C1,C0
380,cgpa_experiments_B_C,C1,C3
823,cgpa_experiments_B_C,C2,C0
453,cgpa_experiments_B_C,C3,C0
887,cgpa_experiments_B_C,C2,C1
53,cgpa_experiments_B_C,C2,C2
610,cgpa_experiments_B_C,C0,C3
538,cgpa_experiments_B_C,C3,C3
721,cgpa_experiments_B_C,C1,C2
1095,cgpa_experiments_B_C,C0,C0
1102,cgpa_experiments_B_C,C1,C1
303,cgpa_experiments_B_C,C3,C2
161,cgpa_experiments_B_C,C3,C1
1032,cgpa_experiments_B_C,C1,C3
800,cgpa_experiments_B_C,C0,C3
809,cgpa_experiments_B_C,C2,C2
891,cgpa_experiments_B_C,C3,C2
863,cgpa_experiments_B_C,C1,C1
113,cgpa_experiments_B_C,C1,C3
962,cgpa_experiments_B_C,C2,C2
730,cgpa_experiments_B_C,C1,C1
285,cgpa_experiments_B_C,C1,C1
84,cgpa_experiments_B_C,C3,C3
329,cgpa_experiments_B_C,C1,C1
27,cgpa_experiments_B_C,C3,C2
551,cgpa_experiments_B_C,C2,C3
549,cgpa_experiments_B_C,C2,C1
511,cgpa_experiments_B_C,C2,C1
383,cgpa_experiments_B_C,C0,C3
725,cgpa_experiments_B_C,C3,C1
326,cgpa_experiments_B_C,C1,C1
17,cgpa_experiments_B_C,C2,C2
394,cgpa_experiments_B_C,C3,C3
552,cgpa_experiments_B_C,C1,C0
91,cgpa_experiments_B_C,C3,C3
314,cgpa_experiments_B_C,C2,C3
627,cgpa_experiments_B_C,C2,C3
16,cgpa_experiments_B_C,C1,C0
160,cgpa_experiments_B_C,C1,C1
77,cgpa_experiments_B_C,C1,C0
801,cgpa_experiments_B_C,C2,C1
97,cgpa_experiments_B_C,C1,C1
439,cgpa_experiments_B_C,C3,C1
905,cgpa_experiments_B_C,C3,C0
25,cgpa_experiments_B_C,C1,C1
353,cgpa_experiments_B_C,C0,C1
293,cgpa_experiments_B_C,C3,C2
841,cgpa_experiments_B_C,C0,C0
82,cgpa_experiments_B_C,C1,C0
182,cgpa_experiments_B_C,C1,C2
894,cgpa_experiments_B_C,C2,C1
968,cgpa_experiments_B_C,C1,C3
255,cgpa_experiments_B_C,C1,C1
563,cgpa_experiments_B_C,C3,C2
799,cgpa_experiments_B_C,C1,C3
304,cgpa_experiments_B_C,C1,C2
144,cgpa_experiments_B_C,C1,C3
236,cgpa_experiments_B_C,C2,C2
506,cgpa_experiments_B_C,C3,C2
1041,cgpa_experiments_B_C,C3,C3
901,cgpa_experiments_B_C,C2,C3
976,cgpa_experiments_B_C,C1,C1
751,cgpa_experiments_B_C,C1,C2
418,cgpa_experiments_B_C,C3,C3
7,cgpa_experiments_B_C,C1,C2
79,cgpa_experiments_B_C,C1,C1
69,cgpa_experiments_B_C,C0,C0
468,cgpa_experiments_B_C,C1,C2
877,cgpa_experiments_B_C,C2,C0
782,cgpa_experiments_B_C,C2,C0
893,cgpa_experiments_B_C,C1,C2
897,cgpa_experiments_B_C,C2,C2
529,cgpa_experiments_B_C,C2,C3
248,cgpa_experiments_B_C,C3,C3
921,cgpa_experiments_B_C,C1,C1
214,cgpa_experiments_B_C,C3,C2
932,cgpa_experiments_B_C,C2,C2
111,cgpa_experiments_B_C,C2,C0
234,cgpa_experiments_B_C,C2,C2
322,cgpa_experiments_B_C,C3,C3
503,cgpa_experiments_B_C,C3,C0
776,cgpa_experiments_B_C,C0,C3
550,cgpa_experiments_B_C,C0,C0
998,cgpa_experiments_B_C,C2,C2
783,cgpa_experiments_B_C,C2,C1
1049,cgpa_experiments_B_C,C0,C1
910,cgpa_experiments_B_C,C0,C0
34,cgpa_experiments_B_C,C0,C0
393,cgpa_experiments_B_C,C3,C1
838,cgpa_experiments_B_C,C1,C1
1050,cgpa_experiments_B_C,C2,C2
534,cgpa_experiments_B_C,C3,C0
1086,cgpa_experiments_B_C,C1,C2
497,cgpa_experiments_B_C,C1,C0
73,cgpa_experiments_B_C,C1,C1
219,cgpa_experiments_B_C,C3,C1
170,cgpa_experiments_B_C,C2,C1
750,cgpa_experiments_B_C,C3,C2
315,cgpa_experiments_B_C,C2,C2
355,cgpa_experiments_B_C,C1,C1
701,cgpa_experiments_B_C,C3,C2
277,cgpa_experiments_B_C,C1,C2
164,cgpa_experiments_B_C,C0,C3
565,cgpa_experiments_B_C,C2,C2
696,cgpa_experiments_B_C,C0,C0
409,cgpa_experiments_B_C,C3,C2
437,cgpa_experiments_B_C,C0,C1
1036,cgpa_experiments_B_C,C2,C2
348,cgpa_experiments_B_C,C2,C3
132,cgpa_experiments_B_C,C2,C3
157,cgpa_experiments_B_C,C2,C2
587,cgpa_experiments_B_C,C0,C3
1090,cgpa_experiments_B_C,C2,C2
559,cgpa_experiments_B_C,C3,C3
136,cgpa_experiments_B_C,C1,C1
495,cgpa_experiments_B_C,C1,C1
920,cgpa_experiments_B_C,C2,C3
925,cgpa_experiments_B_C,C0,C0
671,cgpa_experiments_B_C,C1,C0
871,cgpa_experiments_B_C,C1,C1
600,cgpa_experiments_B_C,C3,C1
281,cgpa_experiments_B_C,C0,C0
102,cgpa_experiments_B_C,C2,C2
441,cgpa_experiments_B_C,C2,C1
323,cgpa_experiments_B_C,C3,C2
357,cgpa_experiments_B_C,C2,C3
327,cgpa_experiments_B_C,C0,C1
939,cgpa_experiments_B_C,C1,C1
643,cgpa_experiments_B_C,C2,C3
812,cgpa_experiments_B_C,C0,C2
64,cgpa_experiments_B_C,C2,C2
608,cgpa_experiments_B_C,C3,C3
474,cgpa_experiments_B_C,C0,C3
498,cgpa_experiments_B_C,C0,C3
1047,cgpa_experiments_B_C,C3,C3
884,cgpa_experiments_B_C,C2,C2
43,cgpa_experiments_B_C,C0,C0
1014,cgpa_experiments_B_C,C0,C0
1101,cgpa_experiments_B_C,C3,C3
369,cgpa_experiments_B_C,C2,C2
804,cgpa_experiments_B_C,C0,C3
341,cgpa_experiments_B_C,C1,C1
761,cgpa_experiments_B_C,C2,C1
997,cgpa_experiments_B_C,C2,C1
421,cgpa_experiments_B_C,C0,C0
252,cgpa_experiments_B_C,C3,C3
72,cgpa_experiments_B_C,C2,C1
477,cgpa_experiments_B_C,C0,C3
1033,cgpa_experiments_B_C,C2,C2
60,cgpa_experiments_B_C,C2,C2
719,cgpa_experiments_B_C,C1,C1
2,cgpa_experiments_B_C,C2,C3
876,cgpa_experiments_B_C,C3,C2
71,cgpa_experiments_B_C,C3,C3
561,cgpa_experiments_B_C,C2,C3
194,cgpa_experiments_B_C,C3,C0
720,cgpa_experiments_B_C,C3,C0
542,cgpa_experiments_B_C,C1,C0
555,cgpa_experiments_B_C,C1,C1
411,cgpa_experiments_B_C,C0,C1
377,cgpa_experiments_B_C,C1,C1
749,cgpa_experiments_B_C,C3,C1
813,cgpa_experiments_B_C,C3,C2
420,cgpa_experiments_B_C,C0,C2
1038,cgpa_experiments_B_C,C1,C2
707,cgpa_experiments_B_C,C1,C3
992,cgpa_experiments_B_C,C0,C2
695,cgpa_experiments_B_C,C3,C2
376,cgpa_experiments_B_C,C2,C1
1078,cgpa_experiments_B_C,C0,C0
747,cgpa_experiments_B_C,C3,C0
790,cgpa_experiments_B_C,C0,C2
204,cgpa_experiments_B_C,C2,C3
866,cgpa_experiments_B_C,C3,C3
275,cgpa_experiments_B_C,C1,C1
424,cgpa_experiments_B_C,C1,C1
685,cgpa_experiments_B_C,C0,C2
1029,cgpa_experiments_B_C,C2,C2
5,cgpa_experiments_B_C,C2,C2
186,cgpa_experiments_B_C,C2,C2
931,cgpa_experiments_B_C,C3,C3
993,cgpa_experiments_B_C,C1,C3
864,cgpa_experiments_B_C,C2,C2
504,cgpa_experiments_B_C,C1,C2
855,cgpa_experiments_B_C,C2,C2
427,cgpa_experiments_B_C,C0,C3
580,cgpa_experiments_B_C,C2,C2
737,cgpa_experiments_B_C,C1,C3
466,cgpa_experiments_B_C,C0,C3
664,cgpa_experiments_B_C,C3,C0
