Timestamp,"What is the name your university?
(তোমার বিশ্ববিদ্যালয়ের নাম কি?)","How satisfied are you with getting admitted into your university?
(তোমার বিশ্ববিদ্যালয়ে ভর্তি হতে পারে তুমি কতটুকু সন্তুষ্ট?)","What is your department?
(তোমার বিভাগ/ডিপার্টমেন্ট কোনটি?)","If your department is not listed above, then write it here:
(তোমার  বিভাগটি যদি উপরে তালিকাভুক্ত না থাকে, তবে সেটি এখানে লিখুন:)","Did you get into your desired subject or department?
(তুমি কি তোমার পছন্দের সাব্জেক্ট/ডিপার্টমেন্টে ভর্তি হতে পেরেছো?)","Which semester are you currently in?
(তুমি বর্তমানে কোন সেমিস্টারে আছো?)","What was your SGPA in the most recently completed semester?
(তোমার বিগত/সদ্য সমাপ্ত সেমিস্টারে SGPA কত ছিল?)","Before that semester, what was your CGPA?
(বিগত সেমিস্টারের আগে তোমার সিজিপিএ (CGPA) কত ছিল?)","How satisfied were you with your latest semester result?
(বিগত সেমিস্টারে ফলাফলে তুমি কতটুকু সন্তুষ্ট?)","How often were you actually present in class?
(তোমার ক্লাসে উপস্থিতি কেমন ছিল?)","Outside class, how much did you usually study per week?
(ক্লাস/লেকচার এর বাইরে , প্রতি সপ্তাহে কতটা পড়ালেখা করতে তুমি?)","Which study style sounds most like you?
(এর মধ্যে কোন ধরনের পড়ার স্টাইল তোমার সাথে মানায়?)","When a class ended, how much of the topic was usually clear to you?
(একটি ক্লাস/লেকচার শেষ হবার পর ওই ক্লাসের পাঠের বিষয় সম্পর্কে তোমার ধারণা কতটুকু পরিষ্কার হতো?)","On a normal night, how much sleep did you get?
(একটি স্বাভাবিক রাতে তুমি কতক্ষণ ঘুমাও?)","How often did stress make it difficult for you to study
(মানসিক চাপের কারণে কত ঘন ঘন  তোমার   পড়াশোনা করতে অসুবিধা হয়েছে?)","How much time did tuition, a job, club activities or other responsibilities take each week?
(টিউশন, চাকরি, ক্লাবের কার্যক্রম বা অন্যান্য দায়িত্বে প্রতি সপ্তাহে তোমার কতটা সময় ব্যয় হতো?)","How often did your phone, gaming, social media, or entertainment steal your planned study time?
( তোমার ফোন, গেমিং, সোশ্যাল মিডিয়া বা বিনোদন কত ঘন ঘন তোমার পরিকল্পিত পড়াশোনার সময় নষ্ট করেছে?)","How study-friendly was the place where you lived? 
(তোমার বাসস্থান কতটা শিক্ষাবান্ধব/শিক্ষার জন্যে উপযোগী ছিল?)","When academic life became difficult, how much support did you receive from family or close friends?  
( শিক্ষাজীবনের কঠিন সময়ে পরিবার থেকে তুমি কতটুকু সাহায্য পেতে?)","Overall, how healthy and manageable was your semester routine?
( সামগ্রিকভাবে, তোমার সেমিস্টারের দৈনন্দিন রুটিন কতটা স্বাস্থ্যকর ও সামলানো সহজ ছিল?)","Do you think this course of study will take you to your dream career?
(তোমার কি মনে ,তোমার এই পাঠ্যক্রম তোমার স্বপ্নের ভবিষ্যৎ/চাকরিজীবনে যেতে সাহায্য করবে?)"
8/24/2026 17:04,BRAC,Very satisfied,Computer Science and Engineering,,Close to what I wanted,11,3.75+,3.5+,Very satisfied,75-89%,7-10 hrs,Regularly but not every day,About half,5-6 hrs,Sometimes,6-10 hrs,Sometimes,Excellent for focused study,Strong support,Mostly manageable,Mostly
8/24/2026 17:06,BRAC,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.2+,3.2+,Neutral,75-89%,3-6 hrs,Mostly just before exams,A little,6-7 hrs,Often,None,Almost every day,Mostly suitable,Some support,Difficult to manage,Somewhat
8/24/2026 17:07,BRAC,Neutral,Computer Science and Engineering,,Somewhat different,10,3.5+,3.2+,Very dissatisfied,90% or more,Less than 3 hrs,Occasionally when necessary,About half,5-6 hrs,Sometimes,1-5 hrs,Often,Neither good nor bad,Good support,Average,Somewhat
8/24/2026 17:14,Brac,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.9+,3.75+,Very dissatisfied,75-89%,7-10 hrs,Mostly just before exams,Most of it,6-7 hrs,Often,6-10 hrs,Sometimes,Mostly suitable,Some support,Difficult to manage,Completely
8/24/2026 17:20,BRAC University,Very satisfied,Computer Science and Engineering,,Close to what I wanted,11,3.75+,3.75+,Neutral,90% or more,3-6 hrs,Occasionally when necessary,About half,7-8 hrs,Sometimes,1-5 hrs,Often,Excellent for focused study,Good support,Mostly manageable,Mostly
8/24/2026 17:26,BRAC,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.2+,3.5+,Very dissatisfied,75-89%,11-15 hrs,Regularly but not every day,A little,5-6 hrs,Almost always,11-15 hrs,Often,Somewhat distracting,Strong support,Difficult to manage,Mostly
8/24/2026 17:33,Brac,Neutral,Computer Science and Engineering,,Mostly different,10,3.0+,3.2+,Neutral,60-74%,7-10 hrs,Occasionally when necessary,About half,6-7 hrs,Sometimes,6-10 hrs,Sometimes,Mostly suitable,Some support,Average,Slightly
8/24/2026 17:37,BRAC,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.5+,3.5+,Very dissatisfied,90% or more,3-6 hrs,Regularly but not every day,Most of it,5-6 hrs,Often,More than 15 hrs,Almost every day,Mostly suitable,Good support,Difficult to manage,Mostly
8/24/2026 17:38,BRAC University,Very satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.9+,3.75+,Very satisfied,90% or more,11-15 hrs,Occasionally when necessary,Most of it,6-7 hrs,Sometimes,None,Often,Excellent for focused study,Strong support,Average,Completely
8/24/2026 17:47,BRAC,Very dissatisfied,Computer Science and Engineering,,Close to what I wanted,11,3.5+,3.5+,Neutral,75-89%,7-10 hrs,Mostly just before exams,A little,5-6 hrs,Often,1-5 hrs,Almost every day,Neither good nor bad,Good support,Difficult to manage,Somewhat
8/24/2026 17:54,Brac,Neutral,Computer Science and Engineering,,Somewhat different,10,3.2+,3.0+,Very dissatisfied,90% or more,3-6 hrs,Regularly but not every day,About half,7-8 hrs,Rarely,6-10 hrs,Sometimes,Mostly suitable,Some support,Mostly manageable,Mostly
8/24/2026 17:59,Brac,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.75+,3.75+,Very dissatisfied,75-89%,Less than 3 hrs,Mostly just before exams,Most of it,5-6 hrs,Often,11-15 hrs,Rarely,Somewhat distracting,Very little support,Difficult to manage,Somewhat
8/24/2026 18:06,Brac,Very satisfied,Computer Science and Engineering,,Close to what I wanted,11,3.5+,3.2+,Very dissatisfied,90% or more,7-10 hrs,Mostly consistent routine,About half,6-7 hrs,Sometimes,1-5 hrs,Often,Excellent for focused study,Good support,Mostly manageable,Mostly
8/24/2026 18:08,Brac,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.0+,3.0+,Very dissatisfied,75-89%,3-6 hrs,Occasionally when necessary,A little,Less than 5 hrs,Almost always,6-10 hrs,Almost every day,Mostly suitable,Strong support,Difficult to manage,Slightly
8/24/2026 18:13,BRAC,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.75+,3.5+,Very satisfied,90% or more,7-10 hrs,Regularly but not every day,Most of it,7-8 hrs,Rarely,None,Sometimes,Neither good nor bad,Some support,Mostly manageable,Completely
8/24/2026 18:24,BRAC,Very dissatisfied,Computer Science and Engineering,,Somewhat different,10,3.2+,3.2+,Neutral,60-74%,11-15 hrs,Mostly consistent routine,About half,6-7 hrs,Often,More than 15 hrs,Often,Somewhat distracting,Good support,Average,Mostly
8/24/2026 18:24,BRAc,Very dissatisfied,Computer Science and Engineering,,Close to what I wanted,10,3.5+,3.2+,Neutral,75-89%,3-6 hrs,Regularly but not every day,Most of it,7-8 hrs,Rarely,More than 15 hrs,Almost every day,Neither good nor bad,Very little support,Difficult to manage,Somewhat
8/24/2026 18:27,Brac,Very satisfied,Computer Science and Engineering,,Somewhat different,11,3.5+,3.75+,Neutral,90% or more,7-10 hrs,Occasionally when necessary,A little,More than 8 hrs,Never,More than 15 hrs,Sometimes,Neither good nor bad,Good support,Average,Somewhat
8/24/2026 18:31,BRAC,Very dissatisfied,Computer Science and Engineering,,Somewhat different,10,3.2+,3.0+,Neutral,60-74%,3-6 hrs,Occasionally when necessary,Most of it,7-8 hrs,Sometimes,1-5 hrs,Often,Neither good nor bad,Strong support,Difficult to manage,Mostly
8/24/2026 18:38,BRAC,Very dissatisfied,Computer Science and Engineering,,Somewhat different,11,3.75+,3.5+,Very satisfied,90% or more,7-10 hrs,Occasionally when necessary,A little,7-8 hrs,Almost always,None,Often,Excellent for focused study,Some support,Difficult to manage,Mostly
8/24/2026 18:48,BUET,Very satisfied,Computer Science and Engineering,,Not at all what I wanted,7,3.0+,3.2+,Very satisfied,75-89%,3-6 hrs,Mostly just before exams,About half,Less than 5 hrs,Sometimes,11-15 hrs,Rarely,Mostly suitable,Some support,Mostly manageable,Completely
8/24/2026 18:49,BUET,Very dissatisfied,Computer Science and Engineering,,Somewhat different,7,3.9+,3.9+,Very satisfied,90% or more,7-10 hrs,Consistent throughout the semester,Almost everything,6-7 hrs,Almost always,1-5 hrs,Almost every day,Excellent for focused study,Good support,Mostly manageable,Mostly
8/24/2026 18:50,Brac,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.75+,3.75+,Neutral,90% or more,3-6 hrs,Mostly just before exams,Almost nothing,5-6 hrs,Often,None,Often,Somewhat distracting,Good support,Difficult to manage,Somewhat
8/24/2026 19:00,BRAc,Neutral,Computer Science and Engineering,,Somewhat different,10,3.2+,3.2+,Very dissatisfied,60-74%,7-10 hrs,Regularly but not every day,About half,6-7 hrs,Often,6-10 hrs,Almost every day,Neither good nor bad,Good support,Difficult to manage,Completely
8/24/2026 19:08,Brac,Very satisfied,Computer Science and Engineering,,Close to what I wanted,10,Below,Below,Neutral,90% or more,3-6 hrs,Occasionally when necessary,A little,7-8 hrs,Sometimes,11-15 hrs,Often,Excellent for focused study,Good support,Difficult to manage,Mostly
8/24/2026 19:17,Buet,Very satisfied,Computer Science and Engineering,,Close to what I wanted,7,3.9+,3.9+,Very satisfied,75-89%,3-6 hrs,Regularly but not every day,Almost everything,5-6 hrs,Often,6-10 hrs,Sometimes,Mostly suitable,Very little support,Difficult to manage,Somewhat
8/24/2026 19:18,BRAC,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.5+,3.2+,Very dissatisfied,75-89%,7-10 hrs,Regularly but not every day,About half,6-7 hrs,Almost always,More than 15 hrs,Often,Mostly suitable,Very little support,Average,Mostly
8/24/2026 19:20,BRAC,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.5+,3.2+,Neutral,75-89%,More than 15 hrs,Regularly but not every day,About half,7-8 hrs,Sometimes,11-15 hrs,Often,Neither good nor bad,Strong support,Difficult to manage,Somewhat
8/24/2026 19:28,Brac,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.5+,3.2+,Very dissatisfied,90% or more,11-15 hrs,Occasionally when necessary,About half,Less than 5 hrs,Sometimes,11-15 hrs,Sometimes,Mostly suitable,Good support,Average,Slightly
8/24/2026 19:37,Brac,Very dissatisfied,Computer Science and Engineering,,Close to what I wanted,11,3.75+,3.5+,Very dissatisfied,75-89%,3-6 hrs,Mostly just before exams,Almost nothing,7-8 hrs,Sometimes,6-10 hrs,Almost every day,Mostly suitable,Strong support,Average,Somewhat
8/24/2026 19:47,BUET,Very dissatisfied,Computer Science and Engineering,,Close to what I wanted,7,3.0+,3.2+,Neutral,90% or more,11-15 hrs,Regularly but not every day,Almost everything,5-6 hrs,Rarely,6-10 hrs,Never,Neither good nor bad,Good support,Mostly manageable,Slightly
8/24/2026 19:56,Buet,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",7,3.0+,3.2+,Very dissatisfied,90% or more,7-10 hrs,Occasionally when necessary,Almost everything,Less than 5 hrs,Sometimes,More than 15 hrs,Sometimes,Neither good nor bad,Very little support,Average,Somewhat
8/24/2026 20:04,BUET,Very dissatisfied,Computer Science and Engineering,,Close to what I wanted,7,3.75+,3.75+,Neutral,90% or more,11-15 hrs,Regularly but not every day,About half,7-8 hrs,Almost always,11-15 hrs,Often,Mostly suitable,Strong support,Average,Completely
8/24/2026 20:09,BRAC,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,Below,Below,Very dissatisfied,75-89%,3-6 hrs,Mostly consistent routine,About half,5-6 hrs,Sometimes,11-15 hrs,Rarely,Somewhat distracting,Good support,Difficult to manage,Slightly
8/24/2026 20:19,Brac,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.9+,3.9+,Neutral,90% or more,Less than 3 hrs,Mostly just before exams,About half,6-7 hrs,Often,None,Often,Somewhat distracting,Some support,Average,Somewhat
8/24/2026 20:26,BUET,Very satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",7,3.5+,3.5+,Very dissatisfied,90% or more,3-6 hrs,Mostly consistent routine,About half,6-7 hrs,Rarely,6-10 hrs,Often,Mostly suitable,Some support,Average,Somewhat
8/24/2026 20:29,BRAC,Very dissatisfied,Computer Science and Engineering,,Close to what I wanted,11,3.9+,3.75+,Very dissatisfied,90% or more,7-10 hrs,Mostly just before exams,About half,7-8 hrs,Often,None,Almost every day,Somewhat distracting,Some support,Mostly manageable,Mostly
8/24/2026 20:32,BRAC,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.75+,3.75+,Very dissatisfied,60-74%,11-15 hrs,Occasionally when necessary,About half,6-7 hrs,Often,None,Often,Neither good nor bad,Some support,Average,Mostly
8/24/2026 20:41,Brac,Neutral,Computer Science and Engineering,,Close to what I wanted,11,3.9+,3.9+,Neutral,60-74%,7-10 hrs,Mostly consistent routine,About half,6-7 hrs,Often,1-5 hrs,Often,Mostly suitable,Good support,Difficult to manage,Mostly
8/24/2026 20:50,Buet,Very dissatisfied,Computer Science and Engineering,,Somewhat different,7,3.5+,3.2+,Very dissatisfied,75-89%,11-15 hrs,Mostly just before exams,A little,5-6 hrs,Sometimes,1-5 hrs,Often,Neither good nor bad,Some support,Average,Mostly
8/24/2026 20:59,BUET,Very dissatisfied,Computer Science and Engineering,,Mostly different,7,Below,Below,Very dissatisfied,75-89%,Less than 3 hrs,Occasionally when necessary,Almost everything,5-6 hrs,Rarely,1-5 hrs,Often,Mostly suitable,Very little support,Mostly manageable,Somewhat
8/24/2026 21:08,Brac,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.0+,3.0+,Very dissatisfied,90% or more,3-6 hrs,Mostly consistent routine,Almost everything,7-8 hrs,Rarely,6-10 hrs,Often,Mostly suitable,Good support,Average,Completely
8/24/2026 21:17,BRAC,Very satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.2+,3.2+,Very dissatisfied,60-74%,11-15 hrs,Regularly but not every day,About half,7-8 hrs,Often,1-5 hrs,Almost every day,Neither good nor bad,Some support,Difficult to manage,Mostly
8/24/2026 21:20,Brac,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.5+,3.5+,Very dissatisfied,75-89%,Less than 3 hrs,Mostly consistent routine,About half,Less than 5 hrs,Rarely,More than 15 hrs,Rarely,Mostly suitable,Good support,Average,Somewhat
8/24/2026 21:21,BUET,Very dissatisfied,Computer Science and Engineering,,Mostly different,7,3.5+,3.5+,Very dissatisfied,90% or more,7-10 hrs,Mostly consistent routine,About half,5-6 hrs,Often,1-5 hrs,Often,Mostly suitable,No support,Average,Mostly
8/24/2026 21:23,BRAC,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.0+,3.2+,Very dissatisfied,90% or more,7-10 hrs,Mostly just before exams,About half,6-7 hrs,Never,6-10 hrs,Almost every day,Mostly suitable,Some support,Average,Completely
8/24/2026 21:53,BRAc,Very satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.2+,3.5+,Very dissatisfied,90% or more,More than 15 hrs,Occasionally when necessary,About half,6-7 hrs,Sometimes,More than 15 hrs,Almost every day,Mostly suitable,Some support,Difficult to manage,Mostly
8/24/2026 21:57,Brac,Very dissatisfied,Computer Science and Engineering,,Somewhat different,10,3.9+,3.75+,Very dissatisfied,75-89%,7-10 hrs,Regularly but not every day,About half,7-8 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Good support,Difficult to manage,Slightly
8/24/2026 22:01,BRAc,Very dissatisfied,Computer Science and Engineering,,Close to what I wanted,11,3.5+,3.5+,Neutral,75-89%,3-6 hrs,Regularly but not every day,Almost everything,7-8 hrs,Rarely,1-5 hrs,Rarely,Neither good nor bad,Strong support,Mostly manageable,Somewhat
8/24/2026 22:12,BRAc,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.5+,3.5+,Neutral,75-89%,7-10 hrs,Mostly just before exams,Almost nothing,6-7 hrs,Often,More than 15 hrs,Never,Somewhat distracting,Some support,Average,Slightly
8/24/2026 22:19,Brac,Very dissatisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.5+,3.5+,Neutral,75-89%,Less than 3 hrs,Regularly but not every day,A little,6-7 hrs,Often,6-10 hrs,Rarely,Very distracting,Strong support,Average,Mostly
8/24/2026 22:27,Brac,Very dissatisfied,Computer Science and Engineering,,Close to what I wanted,10,3.9+,3.75+,Neutral,75-89%,3-6 hrs,Mostly just before exams,Most of it,7-8 hrs,Often,1-5 hrs,Often,Neither good nor bad,Some support,Difficult to manage,Slightly
8/24/2026 22:58,BRAC,Satisfied,Computer Science and Engineering,,Mostly different,11,3.9+,3.9+,Neutral,75-89%,7-10 hrs,Regularly but not every day,About half,7-8 hrs,Often,1-5 hrs,Rarely,Excellent for focused study,Some support,Mostly manageable,Slightly
8/24/2026 22:59,Brac,Satisfied,Computer Science and Engineering,,Close to what I wanted,10,3.75+,3.9+,Very satisfied,90% or more,3-6 hrs,Mostly just before exams,A little,5-6 hrs,Almost always,None,Often,Very distracting,Good support,Average,Completely
8/24/2026 23:07,BRAC,Satisfied,Computer Science and Engineering,,Somewhat different,11,3.5+,3.5+,Satisfied,75-89%,3-6 hrs,Mostly just before exams,A little,6-7 hrs,Often,1-5 hrs,Often,Somewhat distracting,Good support,Mostly manageable,Mostly
8/24/2026 23:16,BRAC,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.5+,3.75+,Satisfied,75-89%,7-10 hrs,Consistent throughout the semester,About half,5-6 hrs,Often,1-5 hrs,Sometimes,Somewhat distracting,Some support,Completely unmanageable,Slightly
8/24/2026 23:26,Brac,Satisfied,Computer Science and Engineering,,Close to what I wanted,11,3.5+,3.75+,Very satisfied,60-74%,Less than 3 hrs,Occasionally when necessary,A little,Less than 5 hrs,Sometimes,1-5 hrs,Often,Mostly suitable,Strong support,Average,Somewhat
8/24/2026 23:33,BRAC,Satisfied,Computer Science and Engineering,,Not at all what I wanted,10,3.5+,3.5+,Neutral,75-89%,3-6 hrs,Regularly but not every day,About half,More than 8 hrs,Often,6-10 hrs,Never,Excellent for focused study,Good support,Average,Mostly
8/24/2026 23:41,Brac,Satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,3.5+,3.2+,Neutral,75-89%,11-15 hrs,Regularly but not every day,About half,6-7 hrs,Often,11-15 hrs,Almost every day,Somewhat distracting,Good support,Difficult to manage,Completely
8/24/2026 23:43,Brac,Neutral,Computer Science and Engineering,,Mostly different,10,3.0+,3.0+,Satisfied,90% or more,7-10 hrs,Occasionally when necessary,Most of it,7-8 hrs,Often,None,Sometimes,Excellent for focused study,Strong support,Completely unmanageable,Mostly
8/24/2026 23:49,BRAC,Very satisfied,Computer Science and Engineering,,"Yes, exactly what I wanted",11,Below,Below,Satisfied,75-89%,7-10 hrs,Mostly consistent routine,Most of it,6-7 hrs,Sometimes,More than 15 hrs,Almost every day,Somewhat distracting,Good support,Difficult to manage,Slightly
8/25/2026 23:41,BRAC,Satisfied,Electrical and Electronic Engineering,,"Yes, exactly what I wanted",11,3.9+,3.75+,Very satisfied,75-89%,3-6 hrs,Mostly just before exams,About half,7-8 hrs,Often,1-5 hrs,Often,Very distracting,Good support,Difficult to manage,Mostly
8/25/2026 23:49,Brac,Neutral,Computer Science and Engineering,,"Yes, exactly what I wanted",10,3.2+,3.5+,Neutral,75-89%,7-10 hrs,Mostly consistent routine,Almost nothing,Less than 5 hrs,Often,6-10 hrs,Sometimes,Neither good nor bad,Strong support,Average,Mostly
8/25/2026 23:57,Brac,Neutral,Electrical and Electronic Engineering,,"Yes, exactly what I wanted",10,3.2+,3.2+,Neutral,75-89%,Less than 3 hrs,Mostly consistent routine,About half,7-8 hrs,Almost always,None,Sometimes,Excellent for focused study,Very little support,Difficult to manage,Somewhat
8/26/2026 0:05,BRAC,Neutral,Computer Science and Engineering,,Somewhat different,10,3.2+,3.2+,Very satisfied,75-89%,Less than 3 hrs,Mostly consistent routine,Almost nothing,6-7 hrs,Rarely,6-10 hrs,Often,Neither good nor bad,Very little support,Difficult to manage,Mostly
8/26/2026 0:08,BRAC,Satisfied,Electrical and Electronic Engineering,,Close to what I wanted,11,3.5+,3.5+,Very satisfied,90% or more,Less than 3 hrs,Consistent throughout the semester,A little,5-6 hrs,Rarely,None,Almost every day,Mostly suitable,Very little support,Average,Mostly
8/26/2026 0:16,BRAC,Neutral,Computer Science and Engineering,,Somewhat different,10,3.2+,3.2+,Satisfied,90% or more,3-6 hrs,Mostly just before exams,Most of it,6-7 hrs,Sometimes,6-10 hrs,Often,Mostly suitable,No support,Average,Mostly
8/26/2026 0:21,BRAC,Satisfied,Electronics and Communication Engineering,,"Yes, exactly what I wanted",10,3.0+,3.2+,Satisfied,75-89%,7-10 hrs,Mostly just before exams,Most of it,6-7 hrs,Almost always,1-5 hrs,Often,Mostly suitable,Good support,Average,Mostly
