department,semester,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,desired_department_match,distraction_frequency,study_environment,support_level,kuet_satisfaction,career_expectation,routine_manageability,current_cgpa_band
CSE,S4,pct_75_89,gt_15h,regular_not_daily,a_little,h_5_6,often,h_1_5,exact,sometimes,neutral,good,dissatisfied,not_at_all,difficult,C2_3_50_to_3_74
CSE,S3,pct_90_plus,h_7_10,regular_not_daily,about_half,h_5_6,often,none,exact,often,very_distracting,very_little,dissatisfied,somewhat,difficult,C2_3_50_to_3_74
CSE,S5,pct_90_plus,h_7_10,exam_only,a_little,h_7_8,sometimes,none,close,almost_every_day,neutral,good,satisfied,somewhat,difficult,C2_3_50_to_3_74
?,S5,pct_90_plus,lt_3h,exam_only,a_little,h_5_6,sometimes,none,exact,almost_every_day,mostly_suitable,good,neutral,slightly,difficult,C1_3_20_to_3_49
?,S5,pct_90_plus,lt_3h,occasional,about_half,h_5_6,sometimes,none,not_at_all,almost_every_day,mostly_suitable,good,neutral,slightly,difficult,C3_3_75_plus
CSE,S5,pct_75_89,lt_3h,exam_only,most,h_5_6,sometimes,none,exact,almost_every_day,neutral,good,neutral,slightly,unmanageable,C2_3_50_to_3_74
CSE,S7,pct_60_74,h_11_15,occasional,a_little,gt_8h,almost_always,h_6_10,not_at_all,almost_every_day,neutral,none,very_dissatisfied,not_at_all,unmanageable,C2_3_50_to_3_74
CSE,S5,pct_90_plus,gt_15h,occasional,almost_nothing,h_6_7,often,h_1_5,exact,sometimes,excellent,some,dissatisfied,mostly,mostly_manageable,C3_3_75_plus
CSE,S5,pct_60_74,lt_3h,exam_only,a_little,h_5_6,almost_always,h_1_5,exact,almost_every_day,mostly_suitable,none,neutral,slightly,unmanageable,C2_3_50_to_3_74
CSE,S7,pct_90_plus,h_3_6,exam_only,a_little,lt_5h,often,h_1_5,somewhat_different,often,excellent,some,satisfied,slightly,difficult,C1_3_20_to_3_49
CSE,S3,pct_90_plus,lt_3h,occasional,about_half,h_6_7,often,none,exact,sometimes,somewhat_distracting,very_little,neutral,somewhat,difficult,C3_3_75_plus
CSE,S4,pct_90_plus,h_3_6,occasional,almost_nothing,h_5_6,sometimes,none,exact,often,excellent,good,very_dissatisfied,slightly,average,C3_3_75_plus
CSE,S5,pct_60_74,h_7_10,exam_only,almost_nothing,h_6_7,sometimes,h_11_15,exact,often,mostly_suitable,good,satisfied,mostly,difficult,C0_below_3_20
CSE,S7,pct_60_74,lt_3h,exam_only,about_half,h_5_6,almost_always,h_1_5,close,almost_every_day,mostly_suitable,strong,very_satisfied,mostly,unmanageable,C2_3_50_to_3_74
CSE,S7,pct_90_plus,h_3_6,exam_only,almost_nothing,h_5_6,often,none,somewhat_different,sometimes,mostly_suitable,some,neutral,not_at_all,average,C1_3_20_to_3_49
CSE,S7,pct_90_plus,lt_3h,exam_only,a_little,h_6_7,often,h_1_5,exact,often,somewhat_distracting,very_little,neutral,somewhat,average,C1_3_20_to_3_49
CSE,S7,lt_40_pct,lt_3h,exam_only,almost_nothing,h_6_7,sometimes,h_6_10,exact,sometimes,mostly_suitable,some,neutral,mostly,mostly_manageable,C2_3_50_to_3_74
CSE,S7,pct_75_89,h_3_6,occasional,almost_nothing,h_6_7,often,none,close,almost_every_day,mostly_suitable,some,dissatisfied,slightly,difficult,C3_3_75_plus
CSE,S7,pct_75_89,h_3_6,exam_only,a_little,lt_5h,often,gt_15h,exact,sometimes,mostly_suitable,some,neutral,mostly,average,C1_3_20_to_3_49
CSE,?,pct_75_89,lt_3h,exam_only,a_little,h_5_6,sometimes,h_6_10,exact,often,mostly_suitable,some,neutral,somewhat,difficult,C1_3_20_to_3_49
CSE,S7,pct_60_74,h_7_10,exam_only,a_little,lt_5h,often,h_11_15,exact,sometimes,neutral,some,neutral,somewhat,difficult,C1_3_20_to_3_49
IEM,S7,pct_90_plus,h_11_15,consistent_all_semester,most,h_7_8,sometimes,h_6_10,close,almost_every_day,mostly_suitable,good,satisfied,mostly,mostly_manageable,C2_3_50_to_3_74
IEM,S7,pct_90_plus,h_3_6,exam_only,a_little,h_6_7,sometimes,none,not_at_all,often,mostly_suitable,good,neutral,somewhat,average,C1_3_20_to_3_49
?,S7,pct_60_74,h_11_15,exam_only,almost_nothing,lt_5h,sometimes,h_11_15,close,sometimes,neutral,some,very_dissatisfied,somewhat,average,C1_3_20_to_3_49
CSE,S4,pct_90_plus,h_3_6,exam_only,a_little,h_5_6,sometimes,h_1_5,close,sometimes,mostly_suitable,good,satisfied,mostly,mostly_manageable,C1_3_20_to_3_49
CSE,S7,pct_60_74,lt_3h,exam_only,almost_nothing,h_6_7,sometimes,none,exact,sometimes,excellent,good,neutral,slightly,average,C2_3_50_to_3_74
ARCH,S7,pct_60_74,h_3_6,occasional,a_little,h_5_6,often,none,exact,often,mostly_suitable,some,dissatisfied,somewhat,average,C2_3_50_to_3_74
ARCH,S6,pct_60_74,lt_3h,exam_only,almost_nothing,h_5_6,sometimes,h_1_5,exact,often,neutral,none,neutral,slightly,difficult,C1_3_20_to_3_49
CSE,S7,pct_90_plus,h_3_6,occasional,a_little,h_6_7,almost_always,none,exact,almost_every_day,mostly_suitable,good,satisfied,mostly,average,C1_3_20_to_3_49
CSE,S7,pct_60_74,lt_3h,exam_only,a_little,h_5_6,often,h_11_15,exact,often,mostly_suitable,some,satisfied,slightly,difficult,C1_3_20_to_3_49
CSE,S7,pct_60_74,h_3_6,exam_only,a_little,h_5_6,sometimes,h_1_5,exact,almost_every_day,neutral,some,neutral,slightly,difficult,C1_3_20_to_3_49
CSE,S7,pct_90_plus,lt_3h,occasional,about_half,h_6_7,often,h_1_5,exact,sometimes,mostly_suitable,strong,neutral,somewhat,difficult,C1_3_20_to_3_49
CSE,S7,pct_90_plus,h_11_15,occasional,most,h_6_7,often,h_1_5,exact,often,mostly_suitable,good,satisfied,mostly,average,C3_3_75_plus
CSE,S7,pct_90_plus,lt_3h,exam_only,about_half,h_6_7,often,h_1_5,exact,almost_every_day,mostly_suitable,some,very_satisfied,slightly,unmanageable,C2_3_50_to_3_74
CSE,S7,pct_75_89,h_7_10,occasional,about_half,h_5_6,sometimes,gt_15h,exact,sometimes,neutral,some,satisfied,slightly,difficult,C1_3_20_to_3_49
CSE,S7,pct_75_89,h_7_10,exam_only,a_little,h_6_7,sometimes,h_6_10,exact,often,neutral,good,satisfied,slightly,average,C1_3_20_to_3_49
CSE,S7,pct_90_plus,h_3_6,exam_only,about_half,h_6_7,often,gt_15h,exact,almost_every_day,mostly_suitable,good,satisfied,mostly,difficult,C1_3_20_to_3_49
CSE,S7,pct_75_89,lt_3h,exam_only,most,h_5_6,almost_always,h_11_15,exact,rarely,mostly_suitable,very_little,very_dissatisfied,somewhat,difficult,C3_3_75_plus
CSE,S7,pct_60_74,h_11_15,regular_not_daily,a_little,h_6_7,often,none,exact,sometimes,neutral,good,satisfied,mostly,mostly_manageable,C1_3_20_to_3_49
CSE,S7,pct_60_74,h_3_6,occasional,a_little,lt_5h,almost_always,none,exact,almost_every_day,mostly_suitable,good,neutral,slightly,difficult,C0_below_3_20
CSE,S7,pct_75_89,h_3_6,regular_not_daily,almost_nothing,lt_5h,almost_always,none,exact,often,neutral,good,dissatisfied,somewhat,difficult,C0_below_3_20
CSE,S7,pct_90_plus,h_11_15,regular_not_daily,about_half,h_5_6,rarely,h_1_5,exact,almost_every_day,excellent,good,very_satisfied,mostly,average,C2_3_50_to_3_74
?,S7,pct_90_plus,h_3_6,exam_only,about_half,h_5_6,sometimes,none,exact,sometimes,mostly_suitable,good,satisfied,slightly,mostly_manageable,C2_3_50_to_3_74
CSE,S7,pct_60_74,h_3_6,exam_only,about_half,h_5_6,sometimes,h_11_15,exact,often,mostly_suitable,strong,neutral,slightly,difficult,C0_below_3_20
CSE,S7,pct_75_89,h_3_6,occasional,about_half,h_6_7,rarely,none,exact,almost_every_day,excellent,strong,very_dissatisfied,not_at_all,average,C1_3_20_to_3_49
CSE,S7,pct_75_89,h_3_6,exam_only,a_little,lt_5h,rarely,gt_15h,exact,often,neutral,some,satisfied,completely,unmanageable,C3_3_75_plus
CSE,S7,pct_60_74,lt_3h,exam_only,almost_nothing,lt_5h,never,none,close,rarely,neutral,very_little,neutral,somewhat,average,C2_3_50_to_3_74
EEE,S7,pct_75_89,h_7_10,exam_only,almost_nothing,lt_5h,almost_always,h_1_5,not_at_all,almost_every_day,mostly_suitable,some,very_dissatisfied,not_at_all,unmanageable,C0_below_3_20
CSE,S7,pct_60_74,lt_3h,exam_only,almost_nothing,h_6_7,sometimes,h_1_5,exact,almost_every_day,mostly_suitable,some,dissatisfied,not_at_all,unmanageable,C1_3_20_to_3_49
ECE,S7,pct_75_89,h_7_10,exam_only,about_half,h_5_6,often,h_11_15,somewhat_different,almost_every_day,neutral,good,satisfied,slightly,difficult,C3_3_75_plus
ECE,S7,pct_90_plus,h_7_10,regular_not_daily,most,h_7_8,rarely,none,exact,sometimes,somewhat_distracting,strong,satisfied,mostly,mostly_manageable,C3_3_75_plus
ECE,S7,pct_60_74,h_3_6,exam_only,almost_nothing,h_5_6,sometimes,h_6_10,somewhat_different,often,somewhat_distracting,very_little,dissatisfied,somewhat,difficult,C1_3_20_to_3_49
CSE,S4,pct_75_89,h_7_10,occasional,about_half,h_5_6,rarely,h_11_15,close,often,very_distracting,strong,very_satisfied,mostly,difficult,C3_3_75_plus
ECE,S7,pct_60_74,lt_3h,exam_only,a_little,lt_5h,almost_always,none,not_at_all,almost_every_day,neutral,some,neutral,somewhat,difficult,C1_3_20_to_3_49
ECE,S7,pct_90_plus,h_3_6,occasional,about_half,h_7_8,sometimes,none,mostly_different,often,mostly_suitable,good,satisfied,mostly,mostly_manageable,C3_3_75_plus
ECE,S7,pct_60_74,h_7_10,regular_not_daily,a_little,h_6_7,often,gt_15h,close,sometimes,neutral,good,neutral,somewhat,average,C2_3_50_to_3_74
ECE,S7,pct_90_plus,gt_15h,regular_not_daily,most,h_7_8,sometimes,none,close,sometimes,mostly_suitable,strong,satisfied,somewhat,mostly_manageable,C3_3_75_plus
CSE,S7,pct_60_74,h_7_10,occasional,about_half,gt_8h,almost_always,h_11_15,not_at_all,almost_every_day,mostly_suitable,none,very_dissatisfied,not_at_all,unmanageable,C2_3_50_to_3_74
ECE,S7,pct_60_74,h_3_6,exam_only,a_little,h_7_8,almost_always,gt_15h,close,often,somewhat_distracting,very_little,neutral,somewhat,difficult,C0_below_3_20
CSE,S7,pct_60_74,h_7_10,occasional,about_half,h_5_6,sometimes,h_1_5,exact,almost_every_day,excellent,good,neutral,somewhat,difficult,C3_3_75_plus
MTE,S7,pct_60_74,lt_3h,occasional,about_half,h_7_8,sometimes,h_6_10,close,sometimes,somewhat_distracting,none,dissatisfied,not_at_all,difficult,C1_3_20_to_3_49
ECE,S7,pct_75_89,h_7_10,occasional,about_half,h_6_7,never,none,close,never,neutral,strong,satisfied,somewhat,mostly_manageable,C3_3_75_plus
ECE,S7,pct_60_74,h_3_6,occasional,about_half,h_6_7,never,h_11_15,close,often,mostly_suitable,good,satisfied,mostly,mostly_manageable,C3_3_75_plus
ECE,S7,pct_60_74,h_7_10,exam_only,almost_nothing,lt_5h,almost_always,gt_15h,mostly_different,sometimes,neutral,some,neutral,slightly,average,C1_3_20_to_3_49
ECE,S7,pct_60_74,h_3_6,exam_only,a_little,h_6_7,often,gt_15h,close,often,somewhat_distracting,good,dissatisfied,not_at_all,difficult,C0_below_3_20
CSE,S4,pct_75_89,h_11_15,mostly_consistent,most,h_7_8,rarely,h_6_10,exact,rarely,mostly_suitable,strong,very_satisfied,completely,healthy_balanced,C2_3_50_to_3_74
ECE,S7,pct_90_plus,h_7_10,occasional,about_half,h_7_8,almost_always,gt_15h,close,rarely,neutral,good,satisfied,somewhat,mostly_manageable,C2_3_50_to_3_74
EEE,S2,pct_60_74,h_3_6,exam_only,about_half,h_5_6,never,none,exact,almost_every_day,excellent,none,dissatisfied,mostly,mostly_manageable,C2_3_50_to_3_74
CSE,S7,pct_75_89,h_7_10,regular_not_daily,most,h_6_7,sometimes,h_1_5,exact,often,mostly_suitable,good,very_satisfied,mostly,mostly_manageable,C2_3_50_to_3_74
ECE,S7,pct_60_74,h_3_6,exam_only,about_half,h_5_6,often,h_6_10,close,almost_every_day,neutral,some,very_dissatisfied,somewhat,average,C1_3_20_to_3_49
ECE,S7,pct_90_plus,h_11_15,consistent_all_semester,almost_everything,h_7_8,rarely,h_1_5,exact,rarely,excellent,strong,very_satisfied,completely,healthy_balanced,C3_3_75_plus
MSE,S7,pct_75_89,h_7_10,mostly_consistent,most,h_6_7,sometimes,h_1_5,close,sometimes,mostly_suitable,good,very_dissatisfied,mostly,mostly_manageable,C2_3_50_to_3_74
ECE,S7,pct_60_74,h_3_6,regular_not_daily,about_half,h_5_6,often,h_6_10,somewhat_different,often,neutral,some,very_dissatisfied,somewhat,average,C1_3_20_to_3_49
MSE,S7,pct_90_plus,h_11_15,consistent_all_semester,almost_everything,h_7_8,sometimes,h_6_10,exact,rarely,mostly_suitable,strong,very_satisfied,mostly,mostly_manageable,C2_3_50_to_3_74
ECE,S7,pct_75_89,h_7_10,regular_not_daily,most,h_6_7,sometimes,h_1_5,close,sometimes,mostly_suitable,good,very_dissatisfied,mostly,mostly_manageable,C2_3_50_to_3_74
ECE,S7,pct_75_89,h_7_10,occasional,about_half,h_6_7,often,h_11_15,mostly_different,often,somewhat_distracting,some,neutral,somewhat,difficult,C1_3_20_to_3_49
MSE,S7,pct_75_89,h_7_10,mostly_consistent,most,h_7_8,rarely,h_1_5,close,rarely,excellent,strong,very_satisfied,mostly,healthy_balanced,C1_3_20_to_3_49
ECE,S7,pct_90_plus,gt_15h,consistent_all_semester,almost_everything,h_6_7,sometimes,h_6_10,exact,sometimes,mostly_suitable,good,very_satisfied,completely,mostly_manageable,C3_3_75_plus
MSE,S7,pct_60_74,h_3_6,exam_only,about_half,h_5_6,often,h_11_15,somewhat_different,almost_every_day,somewhat_distracting,some,neutral,somewhat,difficult,C1_3_20_to_3_49
CSE,S7,pct_90_plus,h_7_10,exam_only,most,h_7_8,rarely,none,close,sometimes,excellent,strong,satisfied,somewhat,mostly_manageable,C3_3_75_plus
MSE,S7,pct_60_74,lt_3h,occasional,a_little,h_7_8,almost_always,h_11_15,exact,almost_every_day,mostly_suitable,strong,neutral,mostly,average,C2_3_50_to_3_74
EEE,S7,pct_40_59,h_7_10,mostly_consistent,about_half,h_5_6,sometimes,h_1_5,close,often,neutral,some,neutral,mostly,difficult,C3_3_75_plus
EEE,S7,pct_60_74,h_3_6,occasional,a_little,h_5_6,sometimes,none,close,often,mostly_suitable,some,very_dissatisfied,somewhat,difficult,C3_3_75_plus
MSE,S7,pct_60_74,h_11_15,regular_not_daily,a_little,h_5_6,rarely,h_11_15,exact,often,neutral,some,very_dissatisfied,not_at_all,average,C2_3_50_to_3_74
ECE,S7,pct_60_74,lt_3h,exam_only,a_little,lt_5h,rarely,h_1_5,somewhat_different,sometimes,excellent,some,very_satisfied,completely,unmanageable,C1_3_20_to_3_49
ECE,S7,pct_60_74,h_11_15,exam_only,a_little,lt_5h,rarely,none,exact,sometimes,mostly_suitable,some,very_satisfied,not_at_all,difficult,C1_3_20_to_3_49
MSE,S7,pct_60_74,h_11_15,mostly_consistent,most,h_5_6,sometimes,h_6_10,mostly_different,almost_every_day,excellent,strong,neutral,slightly,average,C0_below_3_20
EEE,S1,pct_90_plus,gt_15h,regular_not_daily,most,lt_5h,sometimes,h_1_5,exact,often,mostly_suitable,good,satisfied,somewhat,mostly_manageable,C3_3_75_plus
MSE,S7,pct_60_74,h_3_6,exam_only,most,h_5_6,often,h_1_5,exact,almost_every_day,mostly_suitable,strong,very_satisfied,somewhat,unmanageable,C1_3_20_to_3_49
ECE,S7,pct_90_plus,h_3_6,consistent_all_semester,a_little,h_6_7,rarely,none,exact,almost_every_day,neutral,some,neutral,slightly,difficult,C2_3_50_to_3_74
EEE,S7,pct_75_89,h_7_10,consistent_all_semester,a_little,h_5_6,sometimes,h_11_15,exact,often,neutral,good,neutral,slightly,average,C2_3_50_to_3_74
EEE,S7,pct_75_89,h_3_6,regular_not_daily,a_little,lt_5h,sometimes,h_1_5,exact,almost_every_day,neutral,good,very_dissatisfied,mostly,average,C3_3_75_plus
MSE,S7,pct_90_plus,h_3_6,mostly_consistent,a_little,lt_5h,often,none,somewhat_different,sometimes,mostly_suitable,some,very_dissatisfied,mostly,average,C2_3_50_to_3_74
ECE,S7,pct_60_74,h_7_10,occasional,most,h_6_7,rarely,h_11_15,exact,sometimes,neutral,very_little,very_dissatisfied,slightly,difficult,C2_3_50_to_3_74
ECE,S7,pct_90_plus,h_3_6,exam_only,a_little,lt_5h,rarely,h_1_5,close,almost_every_day,excellent,some,neutral,somewhat,difficult,C1_3_20_to_3_49
MSE,S7,pct_60_74,h_11_15,regular_not_daily,about_half,h_5_6,almost_always,h_6_10,exact,almost_every_day,mostly_suitable,good,neutral,somewhat,average,C1_3_20_to_3_49
MSE,S7,pct_60_74,lt_3h,mostly_consistent,about_half,lt_5h,sometimes,none,exact,sometimes,somewhat_distracting,some,very_dissatisfied,somewhat,difficult,C2_3_50_to_3_74
MSE,S7,pct_75_89,h_7_10,occasional,a_little,h_5_6,sometimes,h_11_15,mostly_different,sometimes,somewhat_distracting,strong,neutral,slightly,average,C1_3_20_to_3_49
ECE,S7,pct_75_89,lt_3h,exam_only,a_little,h_6_7,never,gt_15h,close,sometimes,excellent,good,neutral,mostly,difficult,C2_3_50_to_3_74
EEE,S7,pct_60_74,h_3_6,mostly_consistent,almost_nothing,h_6_7,often,none,exact,often,excellent,some,very_dissatisfied,mostly,difficult,C1_3_20_to_3_49
CSE,S7,pct_75_89,h_3_6,exam_only,a_little,lt_5h,sometimes,gt_15h,exact,often,mostly_suitable,good,neutral,somewhat,difficult,C1_3_20_to_3_49
ECE,S7,pct_90_plus,gt_15h,exam_only,about_half,h_6_7,rarely,h_6_10,exact,sometimes,mostly_suitable,none,neutral,somewhat,unmanageable,C1_3_20_to_3_49
MSE,S7,pct_60_74,gt_15h,exam_only,about_half,h_5_6,often,h_11_15,exact,rarely,mostly_suitable,some,very_dissatisfied,slightly,mostly_manageable,C2_3_50_to_3_74
MSE,S7,pct_60_74,lt_3h,occasional,about_half,lt_5h,sometimes,h_11_15,exact,never,neutral,good,very_dissatisfied,somewhat,difficult,C2_3_50_to_3_74
EEE,S7,pct_60_74,lt_3h,occasional,about_half,h_6_7,rarely,h_11_15,exact,rarely,neutral,good,very_dissatisfied,mostly,difficult,C3_3_75_plus
ECE,S7,pct_75_89,h_3_6,exam_only,about_half,h_5_6,sometimes,h_1_5,close,almost_every_day,neutral,good,very_dissatisfied,not_at_all,average,C0_below_3_20
MSE,S7,pct_90_plus,h_7_10,occasional,most,h_5_6,rarely,gt_15h,mostly_different,sometimes,neutral,strong,very_dissatisfied,somewhat,difficult,C0_below_3_20
MSE,S7,pct_40_59,h_7_10,occasional,about_half,h_5_6,often,h_11_15,mostly_different,sometimes,mostly_suitable,strong,neutral,not_at_all,average,C2_3_50_to_3_74
EEE,S7,pct_60_74,lt_3h,exam_only,most,h_6_7,sometimes,h_11_15,exact,often,mostly_suitable,some,very_dissatisfied,somewhat,unmanageable,C1_3_20_to_3_49
EEE,S7,pct_75_89,h_3_6,mostly_consistent,a_little,h_5_6,rarely,none,exact,often,neutral,some,very_dissatisfied,somewhat,average,C1_3_20_to_3_49
EEE,S7,pct_40_59,h_11_15,occasional,most,h_5_6,rarely,h_6_10,close,almost_every_day,neutral,good,very_dissatisfied,mostly,mostly_manageable,C1_3_20_to_3_49
ECE,S7,pct_75_89,h_3_6,regular_not_daily,a_little,h_6_7,sometimes,none,exact,sometimes,neutral,good,very_dissatisfied,mostly,difficult,C0_below_3_20
ECE,S7,pct_60_74,h_7_10,exam_only,most,lt_5h,almost_always,h_11_15,exact,sometimes,excellent,strong,neutral,mostly,difficult,C0_below_3_20
EEE,S7,pct_90_plus,lt_3h,occasional,about_half,h_7_8,often,h_1_5,exact,almost_every_day,mostly_suitable,good,very_dissatisfied,somewhat,healthy_balanced,C1_3_20_to_3_49
ECE,S7,pct_60_74,h_7_10,exam_only,most,h_5_6,sometimes,h_6_10,not_at_all,often,neutral,good,very_dissatisfied,not_at_all,average,C1_3_20_to_3_49
EEE,S7,pct_60_74,h_3_6,regular_not_daily,about_half,h_7_8,often,h_1_5,exact,almost_every_day,somewhat_distracting,good,very_dissatisfied,mostly,healthy_balanced,C3_3_75_plus
EEE,S7,pct_60_74,lt_3h,regular_not_daily,a_little,lt_5h,rarely,h_11_15,exact,sometimes,neutral,some,very_dissatisfied,slightly,difficult,C2_3_50_to_3_74
MSE,S7,pct_60_74,h_3_6,occasional,a_little,lt_5h,almost_always,h_11_15,exact,often,mostly_suitable,some,neutral,completely,mostly_manageable,C0_below_3_20
ECE,S7,pct_40_59,gt_15h,occasional,about_half,h_5_6,rarely,h_11_15,exact,sometimes,neutral,good,neutral,somewhat,difficult,C1_3_20_to_3_49
CE,S7,pct_90_plus,h_7_10,mostly_consistent,most,h_6_7,sometimes,none,exact,rarely,somewhat_distracting,some,satisfied,slightly,average,C3_3_75_plus
EEE,S7,pct_90_plus,lt_3h,exam_only,almost_everything,h_6_7,often,h_6_10,close,sometimes,mostly_suitable,some,very_dissatisfied,completely,difficult,C1_3_20_to_3_49
ECE,S7,pct_75_89,h_7_10,exam_only,most,h_6_7,rarely,none,not_at_all,often,somewhat_distracting,good,very_dissatisfied,slightly,difficult,C2_3_50_to_3_74
MSE,S7,pct_60_74,h_7_10,mostly_consistent,about_half,h_5_6,often,none,exact,often,neutral,good,very_dissatisfied,slightly,average,C2_3_50_to_3_74
ECE,S7,pct_75_89,gt_15h,exam_only,most,h_6_7,sometimes,h_1_5,close,sometimes,somewhat_distracting,good,neutral,somewhat,average,C1_3_20_to_3_49
MSE,S7,pct_90_plus,h_3_6,occasional,about_half,h_6_7,often,none,exact,sometimes,mostly_suitable,some,very_dissatisfied,somewhat,difficult,C1_3_20_to_3_49
CE,S7,pct_60_74,lt_3h,exam_only,most,h_7_8,sometimes,gt_15h,exact,never,somewhat_distracting,some,very_satisfied,slightly,difficult,C0_below_3_20
CSE,S7,pct_75_89,h_3_6,occasional,about_half,h_5_6,sometimes,h_6_10,exact,sometimes,mostly_suitable,strong,very_satisfied,completely,difficult,C0_below_3_20
CSE,S7,pct_75_89,h_11_15,occasional,most,lt_5h,sometimes,gt_15h,exact,sometimes,mostly_suitable,good,satisfied,somewhat,difficult,C2_3_50_to_3_74
CE,S7,pct_60_74,h_11_15,mostly_consistent,about_half,lt_5h,often,gt_15h,exact,often,mostly_suitable,none,very_dissatisfied,mostly,difficult,C2_3_50_to_3_74
CE,S7,pct_60_74,h_7_10,mostly_consistent,a_little,gt_8h,sometimes,none,somewhat_different,rarely,somewhat_distracting,strong,very_dissatisfied,not_at_all,average,C1_3_20_to_3_49
CE,S7,pct_75_89,h_11_15,occasional,almost_everything,h_6_7,never,gt_15h,somewhat_different,rarely,excellent,good,very_dissatisfied,mostly,average,C1_3_20_to_3_49
CE,S7,pct_60_74,gt_15h,consistent_all_semester,a_little,lt_5h,rarely,h_1_5,mostly_different,almost_every_day,mostly_suitable,good,very_dissatisfied,slightly,average,C3_3_75_plus
CE,S7,pct_90_plus,lt_3h,occasional,a_little,gt_8h,often,gt_15h,somewhat_different,almost_every_day,excellent,very_little,neutral,mostly,average,C0_below_3_20
CE,S7,pct_90_plus,h_3_6,occasional,most,h_5_6,almost_always,h_11_15,exact,often,somewhat_distracting,strong,neutral,completely,mostly_manageable,C2_3_50_to_3_74
CE,S7,pct_40_59,gt_15h,consistent_all_semester,almost_everything,lt_5h,sometimes,h_11_15,somewhat_different,often,mostly_suitable,strong,very_dissatisfied,mostly,mostly_manageable,C1_3_20_to_3_49
CE,S7,pct_90_plus,h_11_15,occasional,a_little,h_7_8,often,h_6_10,close,sometimes,mostly_suitable,good,very_dissatisfied,completely,unmanageable,C2_3_50_to_3_74
URP,S7,pct_75_89,h_7_10,exam_only,almost_everything,gt_8h,never,h_11_15,somewhat_different,often,mostly_suitable,strong,neutral,not_at_all,average,C1_3_20_to_3_49
CE,S7,pct_40_59,gt_15h,exam_only,almost_nothing,h_6_7,never,h_6_10,exact,sometimes,mostly_suitable,very_little,very_dissatisfied,not_at_all,healthy_balanced,C0_below_3_20
ChE,S7,pct_90_plus,h_3_6,occasional,a_little,h_7_8,rarely,h_11_15,close,sometimes,somewhat_distracting,very_little,neutral,somewhat,unmanageable,C2_3_50_to_3_74
CE,S7,pct_60_74,h_11_15,mostly_consistent,almost_everything,gt_8h,rarely,h_1_5,exact,rarely,neutral,very_little,very_dissatisfied,somewhat,difficult,C1_3_20_to_3_49
URP,S7,pct_75_89,h_11_15,consistent_all_semester,about_half,h_5_6,often,h_1_5,not_at_all,sometimes,somewhat_distracting,some,very_dissatisfied,somewhat,difficult,C3_3_75_plus
CE,S7,pct_60_74,h_7_10,mostly_consistent,about_half,h_6_7,almost_always,none,somewhat_different,often,very_distracting,strong,neutral,somewhat,mostly_manageable,C2_3_50_to_3_74
ChE,S7,pct_90_plus,h_3_6,occasional,about_half,h_7_8,rarely,none,exact,never,neutral,some,very_dissatisfied,completely,healthy_balanced,C0_below_3_20
CE,S7,lt_40_pct,lt_3h,exam_only,a_little,h_7_8,never,h_1_5,not_at_all,often,very_distracting,good,neutral,somewhat,difficult,C1_3_20_to_3_49
URP,S7,pct_60_74,h_3_6,regular_not_daily,a_little,lt_5h,rarely,h_1_5,exact,never,excellent,some,neutral,slightly,unmanageable,C2_3_50_to_3_74
